id,User_Id,User_Name,Formulario,Nombre_Proveedor,Rut_Proveedor,Empresa,Area,Centro_Costo,Nombre_Solicitante,Nombre_Autoriza,hora_solicitud,fecha_solicitud,Numero_Factura,Numero_Orden_compra,texto_ajuste_informacion_solicitud
6,3,jgabriel,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,18:10,2024-02-12,,,
24,20,Carmen,Solicitud de Cotización,Bright Ideas Inc,76.404.505-6,ETICSA,INTEGRACIÓN,BI-567890,Jennifer,Donna,11:33,2024-02-12,,,
7,3,jgabriel,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,9:24,2024-02-13,,,
46,14,Pablo,Solicitud de Cotización,Food Master Ltd,234567890-0,ETICSA,SERVICIOS,FM005,Carlos,Pablo,14:52,2024-02-14,,,
69,5,Teresa,Solicitud de Cotización,Construcciones y Asociados,987654321-0,ETICSA,INTEGRACIÓN,CC002,María,Teresa,17:38,2024-02-15,,,
99,16,Marta,Solicitud de Cotización,Global Logistics,345678901-0,DTS,SERVICIOS,GL006,Marta,Javier,11:01,2024-02-15,,,
58,4,María,Solicitud de Cotización,Construcciones y Asociados,987654321-0,ETICSA,INTEGRACIÓN,CC002,María,Teresa,10:11,2024-02-15,,,
43,3,Elena,Solicitud de Cotización,Alimentos del Sur SA,123456789-0,DTS,SERVICIOS,AC001,Juan,Pedro,16:04,2024-02-19,,,
10,1,jcampillay,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,17:43,2024-02-19,,,
98,11,Diego,Solicitud de Cotización,Bright Ideas Inc,456789012-0,DTS,PROYECTOS,BI004,Sofía,Laura,12:26,2024-02-19,,,
27,23,Manuel,Cotización Realizada,Food Master Ltd,76.606.707-4,ETICSA,INTEGRACIÓN,FML-901234,Susan,Emily,10:26,2024-02-20,,,
26,22,Pablo,Cotización Realizada,Food Master Ltd,76.606.707-4,ETICSA,INTEGRACIÓN,FML-901234,Elizabeth,Laura,9:30,2024-02-20,,,
8,1,jcampillay,Cotización Realizada,Falabella,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Marta,José,9:06,2024-02-20,,,
31,27,Ana María,Cotización Realizada,Green Eco Group,76.707.808-5,ETICSA,INTEGRACIÓN,GEG-789012,Nancy,Kimberly,13:44,2024-02-20,,,"La información que se ajusta ahora es para comprobar que el estado de solicitud se actualiza a ""Solicitud Ajuste Información"""
33,10,Pedro,Solicitud de Cotización,Comidas del sur,16161616-2,DTS,SERVICIOS,Center-cost,Carlos,Marcos,15:43,2024-02-22,,,
17,13,Teresa,Cotización Realizada,Construcciones y Asociados,76.202.303-8,ETICSA,INTEGRACIÓN,CA-789012,William,Kenneth,17:06,2024-02-22,,,
83,13,Carlos,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,SERVICIOS,FM005,Carlos,Pablo,13:37,2024-02-23,,,
75,4,María,Cotización Realizada,Construcciones y Asociados,987654321-0,ETICSA,INTEGRACIÓN,CC002,María,Teresa,9:17,2024-02-23,,,
48,8,José,Solicitud de Cotización,Servicios Informáticos Ltda,567890123-0,DTS,SERVICIOS,CI003,Ana,Luis,10:19,2024-02-26,,,
92,14,Pablo,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,SERVICIOS,FM005,Carlos,Pablo,8:19,2024-02-28,,,
93,10,Laura,Cotización Realizada,Bright Ideas Inc,456789012-0,ETICSA,INTEGRACIÓN,BI004,Sofía,Laura,18:19,2024-02-29,,,
1,1,jcampillay,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,14:25,2024-02-29,,,
22,18,Laura,Cotización Realizada,Bright Ideas Inc,76.404.505-6,ETICSA,SERVICIOS,BI-567890,Charles,Kevin,9:30,2024-02-29,,,
29,25,Javier,Solicitud de Cotización,Global Logistics,76.707.808-3,ETICSA,INTEGRACIÓN,GL-345678,Sarah,Amy,10:11,2024-02-29,,,
70,19,Ana María,Cotización Realizada,Green Eco Group,678901234-0,DTS,SERVICIOS,GE007,Antonio,Ana María,12:34,2024-03-01,,,
72,19,Ana María,Cotización Realizada,Green Eco Group,678901234-0,DTS,PROYECTOS,GE007,Antonio,Ana María,8:26,2024-03-01,,,
2,1,jcampillay,Cotización Realizada,Sodimac,555..55lkk.-ws,DTS,SERVICIOS,codio de costos,Pedro Nuñez,Juan Valdez,14:05,2024-03-04,,,
30,26,Antonio,Solicitud de Cotización,Green Eco Group,76.707.808-5,DTS,PROYECTOS,GEG-789012,Karen,Rebecca,11:30,2024-03-04,,,
39,10,Pedro,Solicitud de Cotización,Comidad del sur,156156156-2,DTS,PROYECTOS,costos-centro-code,Marcos,Mario,12:18,2024-03-04,987654321.0,12345679.0,
68,2,Pedro,Cotización Realizada,Alimentos del Sur SA,123456789-0,DTS,PROYECTOS,AC001,Juan,Pedro,18:45,2024-03-05,,,
73,4,María,Cotización Realizada,Construcciones y Asociados,987654321-0,ETICSA,SERVICIOS,CC002,María,Teresa,12:10,2024-03-06,,,
86,5,Teresa,Cotización Realizada,Construcciones y Asociados,987654321-0,DTS,PROYECTOS,CC002,María,Teresa,13:48,2024-03-07,,,
16,12,María,Cotización Realizada,Construcciones y Asociados,76.202.303-8,ETICSA,INTEGRACIÓN,CA-789012,Michael,Steven,15:42,2024-03-08,,,
51,4,María,Cotización Realizada,Construcciones y Asociados,987654321-0,DTS,PROYECTOS,CC002,María,Teresa,18:10,2024-03-08,,,
107,20,Isabel,Cotización Realizada,Energía Solar Chilena,890123456-0,ETICSA,SERVICIOS,ES008,Isabel,Elena,18:18,2024-03-11,,,
37,10,Pedro,Cotización Realizada,Comidad del sur,123456789-5,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Marcos,13:15,2024-03-12,,,
47,6,Ana,Solicitud de Cotización,Servicios Informáticos Ltda,567890123-0,ETICSA,INTEGRACIÓN,CI003,Ana,Luis,18:31,2024-03-12,,,
110,10,Laura,Cotización Realizada,Bright Ideas Inc,456789012-0,ETICSA,SERVICIOS,BI004,Sofía,Laura,16:32,2024-03-12,,,
64,1,Juan,Cotización Realizada,Alimentos del Sur SA,123456789-0,ETICSA,INTEGRACIÓN,AC001,Juan,Pedro,17:58,2024-03-14,,,
57,14,Pablo,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,PROYECTOS,FM005,Carlos,Pablo,11:01,2024-03-14,,,
81,14,Pablo,Cotización Realizada,Food Master Ltd,234567890-0,ETICSA,SERVICIOS,FM005,Carlos,Pablo,11:42,2024-03-14,,,
109,15,Manuel,Cotización Realizada,Food Master Ltd,234567890-0,DTS,SERVICIOS,FM005,Carlos,Pablo,14:06,2024-03-15,,,
11,1,jcampillay,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,9:57,2024-03-15,,,
49,20,Isabel,Solicitud de Cotización,Energía Solar Chilena,890123456-0,ETICSA,SERVICIOS,ES008,Isabel,Elena,12:07,2024-03-18,,,
63,15,Manuel,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,PROYECTOS,FM005,Carlos,Pablo,10:22,2024-03-19,,,
71,18,Antonio,Cotización Realizada,Green Eco Group,678901234-0,DTS,PROYECTOS,GE007,Antonio,Ana María,9:50,2024-03-20,,,
52,7,Luis,Cotización Realizada,Servicios Informáticos Ltda,567890123-0,DTS,SERVICIOS,CI003,Ana,Luis,9:45,2024-03-20,,,
3,1,jcampillay,Cotización Realizada,Jumbo,999.1111.8888-K,ETICSA,SERVICIOS,costo codigo centro,John ,Vicente,8:34,2024-03-20,,,
4,1,jcampillay,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,13:04,2024-03-20,,,
28,24,Marta,Cotización Realizada,Global Logistics,76.707.808-3,ETICSA,INTEGRACIÓN,GL-345678,Jessica,Deborah,13:21,2024-03-21,,,
44,15,Manuel,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,PROYECTOS,FM005,Carlos,Pablo,12:52,2024-03-21,,,
90,12,Carmen,Solicitud de Cotización,Bright Ideas Inc,456789012-0,ETICSA,INTEGRACIÓN,BI004,Sofía,Laura,10:36,2024-03-21,,,
91,16,Marta,Solicitud de Cotización,Global Logistics,345678901-0,DTS,PROYECTOS,GL006,Marta,Javier,10:36,2024-03-21,,,
78,12,Carmen,Solicitud de Cotización,Bright Ideas Inc,456789012-0,DTS,PROYECTOS,BI004,Sofía,Laura,18:18,2024-03-22,,,
50,2,Pedro,Solicitud de Cotización,Alimentos del Sur SA,123456789-0,DTS,SERVICIOS,AC001,Juan,Pedro,14:54,2024-03-22,,,
101,11,Diego,Cotización Realizada,Bright Ideas Inc,456789012-0,DTS,PROYECTOS,BI004,Sofía,Laura,10:51,2024-03-25,,,
105,9,Sofía,Solicitud de Cotización,Bright Ideas Inc,456789012-0,ETICSA,SERVICIOS,BI004,Sofía,Laura,13:18,2024-03-25,,,
45,17,Javier,Cotización Realizada,Global Logistics,345678901-0,ETICSA,SERVICIOS,GL006,Marta,Javier,13:04,2024-03-25,,,
84,13,Carlos,Solicitud de Cotización,Food Master Ltd,234567890-0,ETICSA,SERVICIOS,FM005,Carlos,Pablo,12:26,2024-03-27,,,
80,3,Elena,Solicitud de Cotización,Alimentos del Sur SA,123456789-0,DTS,PROYECTOS,AC001,Juan,Pedro,17:58,2024-03-28,,,
